row_index,source_name,true_label,pred_label,confidence,period,amplitude,ra_deg,dec_deg,simbad_id,simbad_otype,vsx_name,vsx_type,vsx_period,asassn_name,asassn_type,asassn_period,asassn_amp,gcvs_name,gcvs_type,gcvs_period,pred_broad,true_broad,vsx_broad,asassn_broad,simbad_broad,n_confirm_pred,n_confirm_true,final_verdict
7859,ASASSN-V J185557.34-242405.1,RRC,EW,0.991361,0.2485079291175132,0.3849999999999998,283.988917,-24.401417,ATO J283.9883-24.4020,EB*,Gaia DR3 4075201206807640064,E,0.497016,J185557.34-242405.1,RRC,0.2485081,0.26,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
208778,ASASSN-V J193746.60-005114.8,ROT,SR,0.991339,50.349958964152286,0.5739999999999998,294.444167,-0.854111,ATO J294.4441-00.8544,LP*,ZTF J193746.58-005115.7,SR,49.9830323,J193746.60-005114.8,ROT,50.222336,0.29,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
166431,ASASSN-V J190651.91+345346.1,ROT,SR,0.991337,42.825874666662685,0.44700000000000095,286.716292,34.896139,ZTF J190651.91+345346.2,LP*,ZTF J190651.91+345346.2,SR,42.6292455,J190651.91+345346.1,ROT,42.8953,0.29,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
706428,ASASSN-V J194530.41+191831.4,DSCT,EW,0.991258,0.2131271591383577,0.2469999999999999,296.376708,19.308722,ATO J296.3759+19.3081,EB*,WISE J194530.2+191829,EW,0.2987362,J194530.41+191831.4,HADS,0.1493681,0.2,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
546136,ASASSN-V J051455.61-170521.9,EW,RRC,0.991229,0.3311201550249072,0.47499999999999964,78.731708,-17.089417,ATO J078.7315-17.0895,RR*,ASASSN-V J051455.56-170522.5,RRC,0.331121,J051455.61-170521.9,EW,0.662234,0.38,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
8088,ASASSN-V J225559.50+151655.3,RRC,EW,0.991156,0.2855292887934829,0.3049999999999997,343.997917,15.282028,CRTS J225559.4+151655,EB*,TSVSC1 TN-N003333033-10-67-2,EW,0.571053,J225559.50+151655.3,RRC,0.2855234,0.24,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
444994,ASASSN-V J195259.53+624510.8,EW,RRC,0.991152,0.3026102296747485,0.8519999999999985,298.248042,62.753,ZTF J195259.52+624511.0,RR*,PS1-3PI J195259.51+624511.0,RRC,0.30261,J195259.53+624510.8,EW,0.60522,0.6,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
10624,ASASSN-V J042521.73+685943.1,RRC,EW,0.991078,0.2418152836742302,0.6329999999999991,66.340542,68.995306,ZTF J042521.65+685943.6,EB*,WISE J042521.6+685943,EW,0.4836364,J042521.73+685943.1,RRC,0.2418177,0.46,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
18049,ASASSN-V J184242.44-244019.6,RRC,EW,0.991067,0.1829659713271564,0.32699999999999996,280.676833,-24.672111,Gaia DR3 4076515741683099264,EB*,ASASSN-V J184242.51-244020.4,RRC,0.182969,J184242.44-244019.6,RRC,0.1829688,0.2,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
329329,ZTFJ144345.27+052543.1,EW,RRC,0.991037,0.2769029690423019,0.6020000000000003,220.938625,5.428639,CRTS J144345.3+052542,RR*,CSS_J144345.3+052542,RRD,0.2768638,J144345.30+052542.6,EW,0.7664814,0.63,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
702169,ASASSN-V J081743.21-242948.1,DSCT,EW,0.990985,0.1754307221006798,0.604000000000001,124.430042,-24.496694,ATO J124.4300-24.4967,EB*,Gaia DR3 5696316688340350336,E,0.350862,J081743.21-242948.1,HADS,0.1754328,0.35,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
23652,ASASSN-V J212707.84+450921.3,RRC,EW,0.990952,0.2309804716209101,0.4350000000000005,321.782667,45.155917,ATO J321.7824+45.1559,EB*,ZTF J212707.78+450921.2,EW,0.4619608,J212707.84+450921.3,RRC,0.2309794,0.27,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
172358,ZTFJ182710.93+031233.7,ROT,RRC,0.990897,0.3038737958521909,0.7310000000000016,276.795542,3.209361,ZTF J182710.93+031233.7,RR*,ZTF J182710.93+031233.7,RS,0.3038777,,,,,,,,RR,ROT,ROT,,RR,1,1,CONFLICTING
635915,ZTFJ190100.48-122526.8,EW,RRC,0.990779,0.3551570724963288,0.6530000000000022,285.252,-12.424111,ZTF J190100.48-122526.8,RR*,ZTF J190100.48-122526.8,EW,0.7102818,,,,,,,,RR,EB,EB,,RR,1,1,CONFLICTING
629479,ZTFJ031522.71+354208.7,EW,ROT,0.990763,4.777560863697714,0.32399999999999807,48.844625,35.702417,CRTS J031522.6+354208,RS*,CSS_J031522.6+354208,RS,4.7620181,J031522.65+354208.8,ROT:,,0.6,,,,ROT,EB,ROT,ROT,ROT,3,0,MODEL_LIKELY_CORRECT
868,ASASSN-V J001112.34+221409.0,RRC,EW,0.990746,0.2516042777862658,0.21199999999999974,2.801417,22.235833,ATO J002.8015+22.2359,EB*,ASAS J001113+2214.2,EC|RRC,0.503197,J001112.34+221409.0,RRC,0.2516086,0.17,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
156873,ASASSN-V J225705.86+575043.8,ROT,SR,0.990662,51.9037669387703,0.593,344.274417,57.8455,ATO J344.2743+57.8453,LP*,ZTF J225705.83+575043.2,SR,51.3584311,J225705.86+575043.8,ROT,51.963913,0.22,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
13189,ASASSN-V J163911.75-601230.9,RRC,EW,0.990652,0.2059315242724894,0.37799999999999834,249.798958,-60.208583,Gaia DR3 5830903955343185152,EB*,WISE J163912.1-601228,EW,0.4118565,J163911.75-601230.9,RRC,0.2059302,0.3,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
4257,ASASSN-V J212648.36+371758.8,RRC,EW,0.99062,0.1895887978432945,0.354000000000001,321.7015,37.299667,ATO J321.7014+37.2996,EB*,ZTF J212648.34+371758.8,EW,0.379172,J212648.36+371758.8,RRC,0.1895877,0.21,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
9120,ASASSN-V J185637.14+264724.1,RRC,EW,0.990587,0.2955698933860139,0.19299999999999962,284.15475,26.790028,ZTF J185637.13+264724.1,EB*,ASASSN-V J185637.15+264724.3,RRC,0.185663,J185637.14+264724.1,RRC,0.1856634,0.15,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
3409,ASASSN-V J155031.11-244834.2,RRC,EW,0.990574,0.2461239988846443,0.9469999999999992,237.629625,-24.8095,CRTS J155031.1-244834,EB*,SSS_J155031.1-244834,EB|EW,0.492248,J155031.11-244834.2,RRC,0.2461313,0.41,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
621130,ASASSN-V J220347.08+383420.0,EW,RRC,0.990512,0.386497673268743,0.8130000000000006,330.946167,38.572222,ATO J330.9461+38.5723,RR*,ASASSN-V J220347.08+383420.3,RRC,0.386491,J220347.08+383420.0,EW,0.773007,0.55,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
203208,ASASSN-V_J182304.08+281828.7,ROT,SR,0.990388,57.84902835250529,2.192,275.767,28.307972,ATO J275.7670+28.3079,LP*,ZTF J182304.07+281828.7,SR,56.4992516,,,,,,,,LPV,ROT,LPV,,LPV,2,0,MODEL_LIKELY_CORRECT
9623,ASASSN-V J071851.90+055620.0,RRC,EW,0.990356,0.4755205167015973,0.32699999999999996,109.71625,5.938889,ATO J109.7161+05.9388,EB*,ZTF J071851.88+055619.7,EW,0.9510408,J071851.90+055620.0,RRC,0.4755234,0.24,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
351568,ASASSN-V J094027.03-175923.4,EW,RRC,0.99032,0.3307923803309794,1.2189999999999994,145.112625,-17.989833,ATO J145.1129-17.9898,RR*,PS1-3PI J094027.11-175923.3,RRC,0.330749,J094027.03-175923.4,EW,0.6615818,0.55,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
7208,ASASSN-V J070248.89+195337.4,RRC,EW,0.990194,0.3022103407596751,0.3810000000000002,105.703708,19.893722,ATO J105.7038+19.8937,EB*,Gaia DR3 3365213945658644096,E,0.463854,J070248.89+195337.4,RRC,0.2319269,0.26,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
5720,ASASSN-V J212957.21+603803.4,RRC,EW,0.99006,0.2315627307933245,0.37200000000000166,322.488375,60.634278,ATO J322.4883+60.6342,EB*,WISE J212957.1+603803,EW,0.4631286,J212957.21+603803.4,RRC,0.2315649,0.27,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
541864,ZTFJ194700.97+101358.5,EW,RRC,0.990055,0.3025750777991148,0.6419999999999995,296.754042,10.232917,ZTF J194700.97+101358.5,RR*,PS1-3PI J194700.98+101358.5,RRC,0.232143,,,,,,,,RR,EB,RR,,RR,2,0,MODEL_LIKELY_CORRECT
